[key]; [value]
Version; 0x03050000
Name; Application.Trace
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MainTask
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 100
Flags; 16
0.Variable; PLC_PRG.lrAGVPos
0.Address.AddrFlags; 0x00000000
0.Class; 15
0.Size; 8
0.GraphColor; 4278190335
0.GraphType; 1
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 18; 714.325
; 48; 716.325
; 79; 718.325
; 111; 720.325
; 142; 722.325
; 172; 724.325
; 202; 726.325
; 232; 728.325
; 262; 730.325
; 292; 732.325
; 322; 734.325
; 352; 736.325
; 384; 738.325
; 414; 740.325
; 444; 742.325
; 475; 744.325
; 505; 746.325
; 535; 748.325
; 565; 750.325
; 595; 752.325
; 626; 754.325
; 657; 756.325
; 689; 758.325
; 719; 760.325
; 750; 762.325
; 780; 764.325
; 810; 766.325
; 840; 768.325
; 871; 770.325
; 900; 772.325
; 931; 774.325
; 963; 776.325
; 993; 778.325
; 1023; 780.325
; 1054; 782.325
; 1086; 784.325
; 1116; 786.325
; 1147; 788.325
; 1177; 790.325
; 1207; 792.325
; 1238; 794.325
; 1268; 796.325
; 1299; 798.325
; 1330; 800.325
; 1361; 802.325
; 1392; 804.325
; 1423; 806.325
; 1454; 808.325
; 1484; 810.325
; 1515; 812.325
; 1546; 814.325
; 1577; 816.325
; 1608; 818.325
; 1640; 820.325
; 1670; 822.325
; 1701; 824.325
; 1731; 826.325
; 1761; 828.325
; 1791; 830.325
; 1821; 832.325
; 1852; 834.325
; 1884; 836.325
; 1914; 838.325
; 1946; 840.325
; 1977; 842.325
; 2008; 844.325
; 2040; 846.325
; 2070; 848.325
; 2100; 850.325
; 2130; 852.325
; 2161; 854.325
; 2191; 856.325
; 2223; 858.325
; 2253; 860.325
; 2284; 862.325
; 2314; 864.325
; 2344; 866.325
; 2375; 868.325
; 2405; 870.325
; 2436; 872.325
; 2466; 874.325
; 2496; 876.325
; 2528; 878.325
; 2558; 880.325
; 2588; 882.325
; 2619; 884.325
; 2651; 886.325
; 2682; 888.325
; 2713; 890.325
; 2743; 892.325
; 2775; 894.325
; 2805; 896.325
; 2835; 898.325
; 2866; 900.325
; 2898; 902.325
; 2928; 904.325
; 2959; 906.325
; 2989; 908.325
; 3019; 910.325
; 3049; 912.325
; 3081; 914.325
; 3111; 916.325
; 3142; 918.325
; 3173; 920.325
; 3203; 922.325
; 3234; 924.325
; 3265; 926.325
; 3296; 928.325
; 3326; 930.325
; 3357; 932.325
; 3387; 934.325
; 3417; 936.325
; 3448; 938.325
; 3478; 940.325
; 3508; 942.325
; 3539; 944.325
; 3569; 946.325
; 3599; 948.325
; 3629; 950.325
; 3659; 952.325
; 3690; 954.325
; 3721; 956.325
; 3751; 958.325
; 3781; 960.325
; 3812; 962.325
; 3842; 964.325
; 3874; 966.325
; 3904; 968.325
; 3934; 970.325
; 3964; 972.325
; 3995; 974.325
; 4025; 976.325
; 4056; 978.325
; 4087; 980.325
; 4117; 982.325
; 4148; 984.325
; 4179; 986.325
; 4209; 988.325
; 4239; 990.325
; 4269; 992.325
; 4299; 994.325
; 4330; 996.325
; 4361; 998.325
; 4392; 1000.325
; 4423; 1002.325
; 4453; 1004.325
; 4484; 1006.325
; 4514; 1008.325
; 4545; 1010.325
; 4575; 1012.325
; 4605; 1014.325
; 4635; 1016.325
; 4667; 1018.325
; 4698; 1020.325
; 4728; 1022.325
; 4759; 1024.325
; 4790; 1026.325
; 4821; 1028.325
; 4851; 1030.325
; 4882; 1032.325
; 4913; 1034.325
; 4943; 1036.325
; 4975; 1038.325
; 5006; 1040.325
; 5036; 1042.325
; 5068; 1044.325
; 5099; 1046.325
; 5129; 1048.325
; 5159; 1050.325
; 5189; 1052.325
; 5219; 1054.325
; 5250; 1056.325
; 5282; 1058.325
; 5311; 1060.325
