MOVIRUN open Editor V3.5 SP20 Patch 4 Trace: Trace
C:\Projekte\CoDeSys-Prj\AGV_Baust3_GIT\AGV_Baust3_GIT.project
Zeitstempel(ms) PLC_PRG.lrAGVPos PLC_PRG.lrAGVSpeed PLC_PRG.uiTranspID PLC_PRG.lrSetSpeed 
18 714.325 200 1000 200
48 716.325 200 1000 200
79 718.325 200 1000 200
111 720.325 200 1000 200
142 722.325 200 1000 200
172 724.325 200 1000 200
202 726.325 200 1000 200
232 728.325 200 1000 200
262 730.325 200 1000 200
292 732.325 200 1000 200
322 734.325 200 1000 200
352 736.325 200 1000 200
384 738.325 200 1000 200
414 740.325 200 1000 200
444 742.325 200 1000 200
475 744.325 200 1000 200
505 746.325 200 1000 200
535 748.325 200 1000 200
565 750.325 200 1000 200
595 752.325 200 1000 200
626 754.325 200 1000 200
657 756.325 200 1000 200
689 758.325 200 1000 200
719 760.325 200 1000 200
750 762.325 200 1000 200
780 764.325 200 1000 200
810 766.325 200 1000 200
840 768.325 200 1000 200
871 770.325 200 1000 200
900 772.325 200 1000 200
931 774.325 200 1000 200
963 776.325 200 1000 200
993 778.325 200 1000 200
1023 780.325 200 1000 200
1054 782.325 200 1000 200
1086 784.325 200 1000 200
1116 786.325 200 1000 200
1147 788.325 200 1000 200
1177 790.325 200 1000 200
1207 792.325 200 1000 200
1238 794.325 200 1000 200
1268 796.325 200 1000 200
1299 798.325 200 1000 200
1330 800.325 200 1000 200
1361 802.325 200 1000 200
1392 804.325 200 1000 200
1423 806.325 200 1000 200
1454 808.325 200 1000 200
1484 810.325 200 1000 200
1515 812.325 200 1000 200
1546 814.325 200 1000 200
1577 816.325 200 1000 200
1608 818.325 200 1000 200
1640 820.325 200 1000 200
1670 822.325 200 1000 200
1701 824.325 200 1000 200
1731 826.325 200 1000 200
1761 828.325 200 1000 200
1791 830.325 200 1000 200
1821 832.325 200 1000 200
1852 834.325 200 1000 200
1884 836.325 200 1000 200
1914 838.325 200 1000 200
1946 840.325 200 1000 200
1977 842.325 200 1000 200
2008 844.325 200 1000 200
2040 846.325 200 1000 200
2070 848.325 200 1000 200
2100 850.325 200 1000 200
2130 852.325 200 1000 200
2161 854.325 200 1000 200
2191 856.325 200 1000 200
2223 858.325 200 1000 200
2253 860.325 200 1000 200
2284 862.325 200 1000 200
2314 864.325 200 1000 200
2344 866.325 200 1000 200
2375 868.325 200 1000 200
2405 870.325 200 1000 200
2436 872.325 200 1000 200
2466 874.325 200 1000 200
2496 876.325 200 1000 200
2528 878.325 200 1000 200
2558 880.325 200 1000 200
2588 882.325 200 1000 200
2619 884.325 200 1000 200
2651 886.325 200 1000 200
2682 888.325 200 1000 200
2713 890.325 200 1000 200
2743 892.325 200 1000 200
2775 894.325 200 1000 200
2805 896.325 200 1000 200
2835 898.325 200 1000 200
2866 900.325 200 1000 200
2898 902.325 200 1000 200
2928 904.325 200 1000 200
2959 906.325 200 1000 200
2989 908.325 200 1000 200
3019 910.325 200 1000 200
3049 912.325 200 1000 200
3081 914.325 200 1000 200
3111 916.325 200 1000 200
3142 918.325 200 1000 200
3173 920.325 200 1000 200
3203 922.325 200 1000 200
3234 924.325 200 1000 200
3265 926.325 200 1000 200
3296 928.325 200 1000 200
3326 930.325 200 1000 200
3357 932.325 200 1000 200
3387 934.325 200 1000 200
3417 936.325 200 1000 200
3448 938.325 200 1000 200
3478 940.325 200 1000 200
3508 942.325 200 1000 200
3539 944.325 200 1000 200
3569 946.325 200 1000 200
3599 948.325 200 1000 200
3629 950.325 200 1000 200
3659 952.325 200 1000 200
3690 954.325 200 1000 200
3721 956.325 200 1000 200
3751 958.325 200 1000 200
3781 960.325 200 1000 200
3812 962.325 200 1000 200
3842 964.325 200 1000 200
3874 966.325 200 1000 200
3904 968.325 200 1000 200
3934 970.325 200 1000 200
3964 972.325 200 1000 200
3995 974.325 200 1000 200
4025 976.325 200 1000 200
4056 978.325 200 1000 200
4087 980.325 200 1000 200
4117 982.325 200 1000 200
4148 984.325 200 1000 200
4179 986.325 200 1000 200
4209 988.325 200 1000 200
4239 990.325 200 1000 200
4269 992.325 200 1000 200
4299 994.325 200 1000 200
4330 996.325 200 1000 200
4361 998.325 200 1000 200
4392 1000.325 200 1000 200
4423 1002.325 200 1000 200
4453 1004.325 200 1000 200
4484 1006.325 200 1000 200
4514 1008.325 200 1000 200
4545 1010.325 200 1000 200
4575 1012.325 200 1000 200
4605 1014.325 200 1000 200
4635 1016.325 200 1000 200
4667 1018.325 200 1000 200
4698 1020.325 200 1000 200
4728 1022.325 200 1000 200
4759 1024.325 200 1000 200
4790 1026.325 200 1000 200
4821 1028.325 200 1000 200
4851 1030.325 200 1000 200
4882 1032.325 200 1000 200
4913 1034.325 200 1000 200
4943 1036.325 200 1000 200
4975 1038.325 200 1000 200
5006 1040.325 200 1000 200
5036 1042.325 200 1000 200
5068 1044.325 200 1000 200
5099 1046.325 200 1000 200
5129 1048.325 200 1000 200
5159 1050.325 200 1000 200
5189 1052.325 200 1000 200
5219 1054.325 200 1000 200
5250 1056.325 200 1000 200
5282 1058.325 200 1000 200
5311 1060.325 200 1000 200
5341 1062.325 200 1000 200
5371 1064.325 200 1000 200
5403 1066.325 200 1000 200
5434 1068.325 200 1000 200
5465 1070.325 200 1000 200
5495 1072.325 200 1000 200
5526 1074.325 200 1000 200
5557 1076.325 200 1000 200
5588 1078.325 200 1000 200
5618 1080.325 200 1000 200
5650 1082.325 200 1000 200
5681 1084.325 200 1000 200
5711 1086.325 200 1000 200
5742 1088.325 200 1000 200
5772 1090.325 200 1000 200
5803 1092.325 200 1000 200
5835 1094.325 200 1000 200
5866 1096.325 200 1000 200
5896 1098.325 200 1000 200
5926 1100.325 200 1000 200
5956 1102.325 200 1000 200
5986 1104.325 200 1000 200
6018 1106.325 200 1000 200
6048 1108.325 200 1000 200
6078 1110.325 200 1000 200
6108 1112.325 200 1000 200
6138 1114.325 200 1000 200
6170 1116.325 200 1000 200
6201 1118.325 200 1000 200
6231 1120.325 200 1000 200
6262 1122.325 200 1000 200
6293 1124.325 200 1000 200
6323 1126.325 200 1000 200
6354 1128.325 200 1000 200
6385 1130.325 200 1000 200
6415 1132.325 200 1000 200
6445 1134.325 200 1000 200
6475 1136.325 200 1000 200
6505 1138.325 200 1000 200
6537 1140.325 200 1000 200
6568 1142.325 200 1000 200
6599 1144.325 200 1000 200
6629 1146.325 200 1000 200
6660 1148.325 200 1000 200
6691 1150.325 200 1000 200
6722 1152.325 200 1000 200
6752 1154.325 200 1000 200
6783 1156.325 200 1000 200
6813 1158.325 200 1000 200
6845 1160.325 200 1000 200
6877 1162.325 200 1000 200
6907 1164.325 200 1000 200
6938 1166.325 200 1000 200
6968 1168.325 200 1000 200
6998 1170.325 200 1000 200
7029 1172.325 200 1000 200
7059 1174.325 200 1000 200
7089 1176.325 200 1000 200
7119 1178.325 200 1000 200
7149 1180.325 200 1000 200
7180 1182.325 200 1000 200
7210 1184.325 200 1000 200
7241 1186.325 200 1000 200
7273 1188.325 200 1000 200
7304 1190.325 200 1000 200
7334 1192.325 200 1000 200
7364 1194.325 200 1000 200
7394 1196.325 200 1000 200
7425 1198.325 200 1000 200
7456 1200.325 200 1000 200
7487 1202.325 200 1000 200
7517 1204.325 200 1000 200
7547 1206.325 200 1000 200
7577 1208.325 200 1000 200
7607 1210.325 200 1000 200
7639 1212.325 200 1000 200
7670 1214.325 200 1000 200
7700 1216.325 200 1000 200
7729 1218.325 200 1000 200
7760 1220.325 200 1000 200
7790 1222.325 200 1000 200
7821 1224.325 200 1000 200
7853 1226.325 200 1000 200
7884 1228.325 200 1000 200
7914 1230.325 200 1000 200
7944 1232.325 200 1000 200
7975 1234.325 200 1000 200
8005 1236.325 200 1000 200
8035 1238.325 200 1000 200
8065 1240.325 200 1000 200
8095 1242.325 200 1000 200
8125 1244.325 200 1000 200
8155 1246.325 200 1000 200
8187 1248.325 200 1000 200
8216 1250.325 200 1000 200
8248 1252.325 200 1000 200
8280 1254.325 200 1000 200
8311 1256.325 200 1000 200
8341 1258.325 200 1000 200
8371 1260.325 200 1000 200
8402 1262.325 200 1000 200
8433 1264.325 200 1000 200
8464 1266.325 200 1000 200
8495 1268.325 200 1000 200
8525 1270.325 200 1000 200
