[key]; [value]
Version; 0x03050000
Name; Application.Trace
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MainTask
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 68
Flags; 32
0.Variable; PLC_PRG.lrAGVPos
0.Address.AddrFlags; 0x00000000
0.Class; 15
0.Size; 8
0.GraphColor; 4278190335
0.GraphType; 1
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 28324; 1098.325
; 59695; 1100.325
; 89957; 1102.325
; 121505; 1104.325
; 151368; 1106.325
; 183071; 1108.325
; 213589; 1110.325
; 244573; 1112.325
; 274704; 1114.325
; 305899; 1116.325
; 336990; 1118.325
; 367032; 1120.325
; 398407; 1122.325
; 428596; 1124.325
; 458433; 1126.325
; 489050; 1128.325
; 519010; 1130.325
; 548983; 1132.325
; 579765; 1134.325
; 609772; 1136.325
; 639796; 1138.325
; 669788; 1140.325
; 699920; 1142.325
; 729955; 1144.325
; 759882; 1146.325
; 791461; 1148.325
; 822354; 1150.325
; 852340; 1152.325
; 882477; 1154.325
; 912374; 1156.325
; 942466; 1158.325
; 974002; 1160.325
; 1004060; 1162.325
; 1033902; 1164.325
; 1065095; 1166.325
; 1095589; 1168.325
; 1125683; 1170.325
; 1155718; 1172.325
; 1187241; 1174.325
; 1217144; 1176.325
; 1247203; 1178.325
; 1277460; 1180.325
; 1307652; 1182.325
; 1338032; 1184.325
; 1368099; 1186.325
; 1399004; 1188.325
; 1429939; 1190.325
; 1461031; 1192.325
; 1492483; 1194.325
; 1522539; 1196.325
; 1552663; 1198.325
; 1584316; 1200.325
; 1614233; 1202.325
; 1645425; 1204.325
; 1676807; 1206.325
; 1707769; 1208.325
; 1737790; 1210.325
; 1768138; 1212.325
; 1799755; 1214.325
; 1831473; 1216.325
; 1861718; 1218.325
; 1892593; 1220.325
; 1922905; 1222.325
; 1952590; 1224.325
; 1984188; 1226.325
; 2014282; 1228.325
; 2045431; 1230.325
; 2075584; 1232.325
; 2105752; 1234.325
; 2135714; 1236.325
; 2165751; 1238.325
; 2197207; 1240.325
; 2227360; 1242.325
; 2258810; 1244.325
; 2288721; 1246.325
; 2319487; 1248.325
; 2349437; 1250.325
; 2380264; 1252.325
; 2410988; 1254.325
; 2440828; 1256.325
; 2470782; 1258.325
; 2502103; 1260.325
; 2532161; 1262.325
; 2562252; 1264.325
; 2592721; 1266.325
; 2622753; 1268.325
; 2652762; 1270.325
; 2683103; 1272.325
; 2713585; 1274.325
; 2743613; 1276.325
; 2773654; 1278.325
; 2805071; 1280.325
; 2835299; 1282.325
; 2865290; 1284.325
; 2894837; 1286.325
; 2925018; 1288.325
; 2954794; 1290.325
; 2984916; 1292.325
; 3014926; 1294.325
; 3046002; 1296.325
; 3076828; 1298.325
; 3107108; 1300.325
; 3138578; 1302.325
; 3169823; 1304.325
; 3201145; 1306.325
; 3231041; 1308.325
; 3262276; 1310.325
; 3293166; 1312.325
; 3323116; 1314.325
; 3354160; 1316.325
; 3384660; 1318.325
; 3414690; 1320.325
; 3444678; 1322.325
; 3474892; 1324.325
1.Variable; PLC_PRG.lrAGVSpeed
1.Address.AddrFlags; 0x00000000
1.Class; 15
1.Size; 8
1.GraphColor; 4278222848
1.GraphType; 1
1.MinWarningColor; 4278190080
1.MaxWarningColor; 4294901760
1.CriticalLowerLimit; 0
1.CriticalUpperLimit; 0
1.ActivateMinWarning; 0
1.ActivateMaxWarning; 0
1.YAxis; 0
1.Data; 
; 28324; 200
; 59695; 200
; 89957; 200
; 121505; 200
; 151368; 200
; 183071; 200
; 213589; 200
; 244573; 200
; 274704; 200
; 305899; 200
; 336990; 200
; 367032; 200
; 398407; 200
; 428596; 200
; 458433; 200
; 489050; 200
; 519010; 200
; 548983; 200
; 579765; 200
; 609772; 200
; 639796; 200
; 669788; 200
; 699920; 200
; 729955; 200
; 759882; 200
; 791461; 200
; 822354; 200
; 852340; 200
; 882477; 200
; 912374; 200
; 942466; 200
; 974002; 200
; 1004060; 200
; 1033902; 200
; 1065095; 200
; 1095589; 200
; 1125683; 200
; 1155718; 200
; 1187241; 200
; 1217144; 200
; 1247203; 200
; 1277460; 200
; 1307652; 200
; 1338032; 200
; 1368099; 200
; 1399004; 200
; 1429939; 200
; 1461031; 200
; 1492483; 200
; 1522539; 200
; 1552663; 200
; 1584316; 200
; 1614233; 200
; 1645425; 200
; 1676807; 200
; 1707769; 200
; 1737790; 200
; 1768138; 200
; 1799755; 200
; 1831473; 200
; 1861718; 200
; 1892593; 200
; 1922905; 200
; 1952590; 200
; 1984188; 200
; 2014282; 200
; 2045431; 200
; 2075584; 200
; 2105752; 200
; 2135714; 200
; 2165751; 200
; 2197207; 200
; 2227360; 200
; 2258810; 200
; 2288721; 200
; 2319487; 200
; 2349437; 200
; 2380264; 200
; 2410988; 200
; 2440828; 200
; 2470782; 200
; 2502103; 200
; 2532161; 200
; 2562252; 200
; 2592721; 200
; 2622753; 200
; 2652762; 200
; 2683103; 200
; 2713585; 200
; 2743613; 200
; 2773654; 200
; 2805071; 200
; 2835299; 200
; 2865290; 200
; 2894837; 200
; 2925018; 200
; 2954794; 200
; 2984916; 200
; 3014926; 200
; 3046002; 200
; 3076828; 200
; 3107108; 200
; 3138578; 200
; 3169823; 200
; 3201145; 200
; 3231041; 200
; 3262276; 200
; 3293166; 200
; 3323116; 200
; 3354160; 200
; 3384660; 200
; 3414690; 200
; 3444678; 200
; 3474892; 200
2.Variable; PLC_PRG.uiTranspID
2.Address.AddrFlags; 0x00000000
2.Class; 11
2.Size; 2
2.GraphColor; 4289014314
2.GraphType; 1
2.MinWarningColor; 4278190080
2.MaxWarningColor; 4294901760
2.CriticalLowerLimit; 0
2.CriticalUpperLimit; 0
2.ActivateMinWarning; 0
2.ActivateMaxWarning; 0
2.YAxis; 0
2.Data; 
; 28324; 1000
; 59695; 1000
; 89957; 1000
; 121505; 1000
; 151368; 1000
; 183071; 1000
; 213589; 1000
; 244573; 1000
; 274704; 1000
; 305899; 1000
; 336990; 1000
; 367032; 1000
; 398407; 1000
; 428596; 1000
; 458433; 1000
; 489050; 1000
; 519010; 1000
; 548983; 1000
; 579765; 1000
; 609772; 1000
; 639796; 1000
; 669788; 1000
; 699920; 1000
; 729955; 1000
; 759882; 1000
; 791461; 1000
; 822354; 1000
; 852340; 1000
; 882477; 1000
; 912374; 1000
; 942466; 1000
; 974002; 1000
; 1004060; 1000
; 1033902; 1000
; 1065095; 1000
; 1095589; 1000
; 1125683; 1000
; 1155718; 1000
; 1187241; 1000
; 1217144; 1000
; 1247203; 1000
; 1277460; 1000
; 1307652; 1000
; 1338032; 1000
; 1368099; 1000
; 1399004; 1000
