TimeStamp;X;Y
02.09.2014 12:14:07,074;17032693;4405000
02.09.2014 12:14:07,572;17032793;4405000
02.09.2014 12:14:08,085;17032787;4405000
02.09.2014 12:14:08,581;17032900;4405000
02.09.2014 12:14:09,102;17032931;4405000
02.09.2014 12:14:09,608;17032887;4405000
02.09.2014 12:14:10,115;17032881;4405000
02.09.2014 12:14:10,637;17032900;4405000
02.09.2014 12:14:11,148;17032793;4405000
02.09.2014 12:14:11,667;17032900;4405000
02.09.2014 12:14:12,167;17033006;4405000
02.09.2014 12:14:12,698;17032818;4405000
02.09.2014 12:14:13,206;17033000;4405000
02.09.2014 12:14:13,709;17032925;4405000
02.09.2014 12:14:14,211;17032893;4405000
02.09.2014 12:14:14,716;17032912;4405000
02.09.2014 12:14:15,236;17032787;4405000
02.09.2014 12:14:15,730;17033000;4405000
02.09.2014 12:14:16,245;17033000;4405000
02.09.2014 12:14:16,739;17032793;4405000
02.09.2014 12:14:17,258;17032918;4405000
02.09.2014 12:14:17,766;17033062;4405000
02.09.2014 12:14:18,266;17032900;4405000
02.09.2014 12:14:18,773;17032687;4405000
02.09.2014 12:14:19,286;17032787;4405000
02.09.2014 12:14:19,782;17032800;4405000
02.09.2014 12:14:20,302;17032781;4405000
02.09.2014 12:14:20,808;17033012;4405000
02.09.2014 12:14:21,310;17032918;4405000
02.09.2014 12:14:21,807;17032900;4405000
02.09.2014 12:14:22,336;17032668;4405000
02.09.2014 12:14:22,833;17032993;4405000
02.09.2014 12:14:23,346;17032768;4405000
02.09.2014 12:14:23,848;17032893;4405000
02.09.2014 12:14:24,363;17032931;4405000
02.09.2014 12:14:24,873;17032850;4405000
02.09.2014 12:14:25,369;17032918;4405000
02.09.2014 12:14:25,867;17032806;4405000
02.09.2014 12:14:26,380;17032900;4405000
02.09.2014 12:14:26,879;17032843;4405000
02.09.2014 12:14:27,401;17032731;4405000
02.09.2014 12:14:27,913;17033018;4405000
02.09.2014 12:14:28,408;17032893;4405000
02.09.2014 12:14:28,915;17032900;4405000
02.09.2014 12:14:29,417;17032787;4405000
02.09.2014 12:14:29,928;17032800;4405000
02.09.2014 12:14:30,442;17032912;4405000
02.09.2014 12:14:30,953;17032806;4405000
02.09.2014 12:14:31,450;17032912;4405000
02.09.2014 12:14:31,956;17032793;4405000
02.09.2014 12:14:32,474;17032850;4405000
02.09.2014 12:14:32,971;17032906;4405000
02.09.2014 12:14:33,483;17033000;4405000
02.09.2014 12:14:33,981;17032818;4405000
02.09.2014 12:14:34,494;17032675;4405000
02.09.2014 12:14:35,005;17032943;4405000
02.09.2014 12:14:35,509;17032900;4405000
02.09.2014 12:14:36,041;17033043;4405000
02.09.2014 12:14:36,517;17032881;4405000
02.09.2014 12:14:37,029;17032781;4405000
02.09.2014 12:14:37,580;17032881;4405000
02.09.2014 12:14:38,038;17032937;4405000
02.09.2014 12:14:38,595;17032800;4405000
02.09.2014 12:14:39,063;17032800;4405000
02.09.2014 12:14:39,604;17032793;4405000
02.09.2014 12:14:40,072;17032737;4405000
02.09.2014 12:14:40,625;17032793;4405000
02.09.2014 12:14:41,098;17032706;4405000
02.09.2014 12:14:41,603;17032900;4405000
02.09.2014 12:14:42,116;17032912;4405000
02.09.2014 12:14:42,617;17033006;4405000
02.09.2014 12:14:43,116;17032906;4405000
02.09.2014 12:14:43,625;17032793;4405000
02.09.2014 12:14:44,141;17032750;4405000
02.09.2014 12:14:44,632;17032900;4405000
02.09.2014 12:14:45,148;17033062;4405000
02.09.2014 12:14:45,657;17033000;4405000
02.09.2014 12:14:46,157;17033025;4405000
02.09.2014 12:14:46,666;17032781;4405000
02.09.2014 12:14:47,183;17032900;4405000
02.09.2014 12:14:47,679;17032881;4405000
02.09.2014 12:14:48,194;17032775;4405000
02.09.2014 12:14:48,687;17033000;4405000
02.09.2014 12:14:49,208;17032862;4405000
02.09.2014 12:14:49,716;17032787;4405000
02.09.2014 12:14:50,218;17033025;4405000
02.09.2014 12:14:50,726;17032656;4405000
02.09.2014 12:14:51,229;17032681;4405000
02.09.2014 12:14:51,727;17033000;4405000
02.09.2014 12:14:52,257;17032993;4405000
02.09.2014 12:14:52,756;17032906;4405000
02.09.2014 12:14:53,277;17032793;4405000
02.09.2014 12:14:53,789;17032793;4405000
02.09.2014 12:14:54,316;17032793;4405000
02.09.2014 12:14:54,822;17032775;4405000
02.09.2014 12:14:55,318;17032906;4405000
02.09.2014 12:14:55,847;17032900;4405000
02.09.2014 12:14:56,327;17032800;4405000
02.09.2014 12:14:56,855;17032893;4405000
02.09.2014 12:14:57,352;17032706;4405000
02.09.2014 12:14:57,857;17032887;4405000
02.09.2014 12:14:58,365;17032675;4405000
02.09.2014 12:14:58,886;17032750;4405000
02.09.2014 12:14:59,381;17032793;4405000
02.09.2014 12:14:59,903;17032775;4405000
02.09.2014 12:15:00,397;17032793;4405000
02.09.2014 12:15:00,908;17033000;4405000
02.09.2014 12:15:01,408;17032881;4405000
02.09.2014 12:15:01,917;17032706;4405000
02.09.2014 12:15:02,424;17032687;4405000
02.09.2014 12:15:02,937;17033106;4405000
02.09.2014 12:15:03,431;17032787;4405000
02.09.2014 12:15:03,947;17032887;4405000
02.09.2014 12:15:04,452;17032887;4405000
02.09.2014 12:15:04,968;17039406;4404156
02.09.2014 12:15:05,459;17135950;4412052
02.09.2014 12:15:05,988;17368493;4421779
02.09.2014 12:15:06,478;17673106;4430546
02.09.2014 12:15:06,997;18075212;4439784
02.09.2014 12:15:07,497;18558800;4448767
02.09.2014 12:15:08,007;19004531;4457377
02.09.2014 12:15:08,502;19482887;4465029
02.09.2014 12:15:09,017;19860975;4472843
02.09.2014 12:15:09,533;20157275;4480168
02.09.2014 12:15:10,035;20338100;4486197
02.09.2014 12:15:10,528;20402587;4490029
02.09.2014 12:15:11,055;20399756;4490023
02.09.2014 12:15:11,551;20399631;4490005
02.09.2014 12:15:12,061;20400818;4490005
02.09.2014 12:15:12,572;20398587;4490005
02.09.2014 12:15:13,077;20398962;4490005
02.09.2014 12:15:13,594;20399493;4490005
02.09.2014 12:15:14,089;20399193;4490005
02.09.2014 12:15:14,602;20399300;4490005
02.09.2014 12:15:15,099;20399087;4490005
02.09.2014 12:15:15,626;20399093;4490005
02.09.2014 12:15:16,121;20399087;4490005
02.09.2014 12:15:16,633;20399225;4490005
02.09.2014 12:15:17,126;20399206;4490005
02.09.2014 12:15:17,637;20399418;4489139
02.09.2014 12:15:18,159;20399400;4522581
02.09.2014 12:15:18,658;20399400;4529662
02.09.2014 12:15:19,164;20398962;4532976
02.09.2014 12:15:19,674;20399200;4575511
02.09.2014 12:15:20,195;20399187;4610011
02.09.2014 12:15:20,686;20399493;4610040
02.09.2014 12:15:21,194;20399187;4610040
02.09.2014 12:15:21,704;20399418;4610029
02.09.2014 12:15:22,199;20399000;4610029
02.09.2014 12:15:22,708;20399093;4610029
02.09.2014 12:15:23,214;20399512;4610029
02.09.2014 12:15:23,731;20399506;4610029
02.09.2014 12:15:24,249;20399306;4610029
02.09.2014 12:15:24,749;20399387;4610029
02.09.2014 12:15:25,243;20399281;4610029
02.09.2014 12:15:25,769;20399487;4610029
02.09.2014 12:15:26,264;20399306;4610029
02.09.2014 12:15:26,781;20399400;4610029
02.09.2014 12:15:27,275;20399512;4610029
02.09.2014 12:15:27,783;20399400;4610029
02.09.2014 12:15:28,285;20399293;4610029
02.09.2014 12:15:28,807;20399287;4610029
02.09.2014 12:15:29,302;20399300;4610029
02.09.2014 12:15:29,814;20399306;4610029
02.09.2014 12:15:30,317;20399400;4609773
02.09.2014 12:15:30,828;20343993;4605273
02.09.2014 12:15:31,333;20187531;4595581
02.09.2014 12:15:31,839;19907575;4584470
02.09.2014 12:15:32,345;19548468;4575186
02.09.2014 12:15:32,856;19070431;4565296
02.09.2014 12:15:33,351;18629425;4556436
02.09.2014 12:15:33,867;18145800;4547145
02.09.2014 12:15:34,380;17692337;4538197
02.09.2014 12:15:34,884;17358006;4529825
02.09.2014 12:15:35,381;17165362;4522860
02.09.2014 12:15:35,899;17041675;4515087
02.09.2014 12:15:36,404;17025825;4515023
02.09.2014 12:15:36,915;17024300;4514982
02.09.2014 12:15:37,410;17026693;4514982
02.09.2014 12:15:37,920;17026200;4514982
02.09.2014 12:15:38,432;17026493;4514982
02.09.2014 12:15:38,942;17027000;4514982
02.09.2014 12:15:39,454;17027006;4514982
02.09.2014 12:15:39,971;17026900;4514982
02.09.2014 12:15:40,482;17026900;4514982
02.09.2014 12:15:41,000;17027106;4514982
02.09.2014 12:15:41,511;17027012;4514982
02.09.2014 12:15:42,005;17027018;4514982
02.09.2014 12:15:42,533;17026887;4514982
02.09.2014 12:15:43,044;17027025;4514982
02.09.2014 12:15:43,539;17026768;4514982
02.09.2014 12:15:44,056;17026900;4514197
02.09.2014 12:15:44,557;17027025;4489941
02.09.2014 12:15:45,073;17027993;4449988
02.09.2014 12:15:45,594;17027081;4443872
02.09.2014 12:15:46,085;17027093;4439924
02.09.2014 12:15:46,577;17027000;4412180
02.09.2014 12:15:47,121;17026775;4405284
02.09.2014 12:15:47,604;17027106;4405395
02.09.2014 12:15:48,138;17026831;4405395
02.09.2014 12:15:48,609;17027112;4405395
02.09.2014 12:15:49,159;17026862;4405395
02.09.2014 12:15:49,630;17026893;4405395
02.09.2014 12:15:50,178;17026906;4405395
02.09.2014 12:15:50,646;17026781;4405395
02.09.2014 12:15:51,150;17027150;4405395
02.09.2014 12:15:51,649;17026893;4405395
02.09.2014 12:15:52,176;17027106;4405395
02.09.2014 12:15:52,671;17027000;4405395
02.09.2014 12:15:53,181;17027143;4405395
02.09.2014 12:15:53,694;17026918;4404593
02.09.2014 12:15:54,206;16968625;4379255
02.09.2014 12:15:54,701;16811237;4266052
02.09.2014 12:15:55,212;16530312;4040168
02.09.2014 12:15:55,706;16169318;3759691
02.09.2014 12:15:56,225;15690593;3450622
02.09.2014 12:15:56,729;15249712;3141563
02.09.2014 12:15:57,245;14766893;2856238
02.09.2014 12:15:57,745;14286962;2547145
02.09.2014 12:15:58,256;13844300;2238063
02.09.2014 12:15:58,752;13434687;1952744
02.09.2014 12:15:59,266;13162600;1643656
02.09.2014 12:15:59,756;12988456;1334581
02.09.2014 12:16:00,285;12910743;1025470
02.09.2014 12:16:00,785;12910806;740168
02.09.2014 12:16:01,289;12910493;431656
02.09.2014 12:16:01,801;12910631;183441
02.09.2014 12:16:02,316;12910887;48180
02.09.2014 12:16:02,810;12911975;16645
02.09.2014 12:16:03,325;12912212;16872
02.09.2014 12:16:03,821;12911987;16912
02.09.2014 12:16:04,340;12912206;16906
02.09.2014 12:16:04,842;12912181;16906
02.09.2014 12:16:05,353;12911887;16906
02.09.2014 12:16:05,848;12912306;16906
02.09.2014 12:16:06,358;12912193;16906
02.09.2014 12:16:06,863;12912275;16906
02.09.2014 12:16:07,379;12912393;16906
02.09.2014 12:16:07,888;12912325;16906
02.09.2014 12:16:08,407;12912012;16906
02.09.2014 12:16:08,917;12912200;16906
02.09.2014 12:16:09,446;12912137;16906
02.09.2014 12:16:09,946;12912093;16924
02.09.2014 12:16:10,452;12912056;50767
02.09.2014 12:16:10,967;12912162;57523
02.09.2014 12:16:11,456;12912400;60970
02.09.2014 12:16:11,983;12912131;111313
02.09.2014 12:16:12,479;12912193;137093
02.09.2014 12:16:12,993;12912500;137029
02.09.2014 12:16:13,500;12912312;137017
02.09.2014 12:16:14,016;12912037;137017
02.09.2014 12:16:14,525;12912181;137017
02.09.2014 12:16:15,021;12912143;137017
02.09.2014 12:16:15,537;12912406;137017
02.09.2014 12:16:16,043;12912062;137017
02.09.2014 12:16:16,553;12912312;137017
02.09.2014 12:16:17,048;12912087;137017
02.09.2014 12:16:17,560;12912193;137017
02.09.2014 12:16:18,064;12912381;137017
02.09.2014 12:16:18,583;12912318;137017
02.09.2014 12:16:19,077;12912618;137017
02.09.2014 12:16:19,597;12912612;137017
02.09.2014 12:16:20,090;12912093;137017
02.09.2014 12:16:20,609;12912237;137017
02.09.2014 12:16:21,115;12912512;137017
02.09.2014 12:16:21,626;12912293;137017
02.09.2014 12:16:22,120;12912518;137017
02.09.2014 12:16:22,632;12912300;137017
02.09.2014 12:16:23,136;12914625;135651
02.09.2014 12:16:23,653;12998431;174773
02.09.2014 12:16:24,148;13178150;304395
02.09.2014 12:16:24,659;13482393;547819
02.09.2014 12:16:25,165;13901006;855500
02.09.2014 12:16:25,682;14385381;1164558
02.09.2014 12:16:26,177;14829556;1449848
02.09.2014 12:16:26,688;15274000;1758918
